latitude,longitude,n
30.2841,-81.3961,359
42.5292,-85.8553,360
38.5015,-90.6499,361
39.3641,-74.4231,362
44.9181,-73.1243,363
37.7395,-121.426,364
39.8726,-74.2951,365
42.4966,-96.4052,366
43.4578,-88.8373,367
40.9488,-74.2403,368
36.4073,-105.5731,369
37.5841,-122.366,370
38.7746,-75.1394,371
47.2528,-122.4442,372
38.3539,-121.9728,373
48.0517,-122.177,374
39.7817,-89.6481,375
43.0125,-83.6875,376
40.6058,-74.135,377
37.5388,-77.4336,378
39.1013,-94.5789,379
39.0461,-76.0644,380
48.4123,-114.3347,381
39.9537,-74.1979,382
48.8465,-122.591,383
48.7595,-122.4882,384
34.1055,-117.5964,385
46.2386,-119.1086,386
46.2113,-119.13720000000001,387
39.0177,-94.6169,388
48.4758,-122.3304,389
48.5038,-122.2361,390
48.42,-122.3261,391
48.5126,-122.6127,392
45.5608,-94.1625,393
41.1415,-73.3579,394
36.9903,-86.4436,395
46.3389,-117.0464,396
30.5788,-97.8531,397
34.0577,-118.4553,398
33.4941,-111.926,399
35.7915,-78.7811,400
39.3317,-84.4072,401
40.0931,-83.018,402
39.3884,-84.4538,403
40.419,-80.5895,404
36.9739,-122.0302,405
47.6739,-122.1215,406
40.5855,-122.3904,407
42.5084,-89.0318,408
40.6662,-74.1935,409
40.7584,-82.5155,410
41.45,-87.47,411
43.642,-72.2524,412
37.9823,-120.3822,413
44.0216,-92.4699,414
41.1412,-73.2637,415
41.9142,-88.3087,416
42.4501,-89.0631,417
40.7308,-73.7958,418
29.5636,-95.2861,419
34.8298,-82.6015,420
38.0529,-81.104,421
35.5643,-89.6465,422
38.9989,-84.6266,423
39.0837,-84.5086,424
43.1536,-93.2016,425
38.0405,-84.5043,426
32.2217,-110.9264,427
41.6106,-87.0642,428
44.4259,-69.0064,429
40.0456,-86.0086,430
34.1336,-117.9076,431
45.8167,-120.8167,432
41.142,-87.8612,433
41.9164,-83.3977,434
44.292,-121.5533,435
39.0184,-84.5818,436
36.7373,-119.7857,437
40.0395,-84.2033,438
32.2986,-90.1863,439
43.4666,-112.0341,440
41.8861,-87.7841,441
42.2411,-88.3162,442
34.1954,-82.1618,443
34.9496,-81.9321,444
31.0982,-97.343,445
33.8855,-117.9286,446
39.7686,-86.158,447
46.602,-120.505,448
34.0584,-106.8914,449
32.8406,-83.6324,450
30.3582,-90.0656,451
42.5612,-71.5898,452
34.2819,-118.4389,453
61.218,-149.9002,454
44.1538,-87.5701,455
42.2012,-85.58,456
34.3582,-86.2945,457
33.7459,-117.8262,458
43.0495,-88.0076,459
42.9634,-85.6681,460
38.7819,-90.4881,461
41.3082,-72.9279,462
36.6673,-88.9934,463
25.8632,-80.1928,464
40.4233,-104.7091,465
38.3242,-85.4724,466
40.4842,-88.9937,467
39.2014,-85.9214,468
34.3893,-118.5484,469
45.4914,-122.5932,470
20.8913,-156.506,471
40.5861,-98.3884,472
35.781,-78.6392,473
33.2468,-84.2641,474
40.0379,-76.3055,475
47.4829,-122.2171,476
40.3934,-82.4857,477
25.9018,-97.4981,478
33.2,-117.2425,479
39.5296,-119.8138,480
41.6023,-71.2503,481
36.2082,-115.9839,482
39.6895,-84.1688,483
43.775,-88.4388,484
39.4667,-87.4139,485
41.5111,-87.9658,486
39.6411,-84.2813,487
36.1128,-89.2617,488
33.7583,-118.3642,489
38.3929,-120.8024,490
43.9179,-123.0245,491
32.2732,-89.9859,492
47.1853,-122.2929,493
42.4926,-92.3433,494
40.7426,-84.1052,495
39.2998,-75.6046,496
39.507,-84.7452,497
35.9251,-86.8689,498
43.1124,-83.6176,499
41.7175,-87.677,500
34.1425,-109.9603,501
45.1403,-89.1523,502
41.9827,-87.7292,503
39.1634,-119.7649,504
40.5852,-105.0849,505
29.8946,-81.3145,506
38.8818,-78.5058,507
34.181,-118.313,508
44.0886,-87.6576,509
32.5185,-92.1476,510
44.9193,-123.3171,511
42.2626,-71.8023,512
40.5887,-83.1285,513
28.6775,-99.8281,514
37.2355,-121.9628,515
42.7628,-71.4739,516
36.8529,-75.978,517
36.3297,-119.2918,518
40.3201,-75.6102,519
39.7294,-104.8319,520
42.386,-82.9121,521
26.2031,-98.2302,522
40.0992,-83.1141,523
38.2302,-90.4152,524
39.3581,-84.3119,525
40.3942,-74.117,526
26.6216,-81.8405,527
33.7877,-117.8534,528
37.7742,-87.1133,529
34.2309,-111.3251,530
38.0492,-87.2742,531
31.5688,-93.4841,532
41.7552,-124.2042,533
37.2165,-80.2325,534
39.7284,-121.8374,535
38.7438,-90.305,536
33.9859,-117.3534,537
42.0987,-75.918,538
35.3849,-77.9928,539
44.3353,-85.2151,540
35.2924,-81.5357,541
38.9716,-95.2359,542
41.1564,-80.569,543
21.6172,-158.0873,544
40.8657,-73.5321,545
36.0626,-94.1574,546
39.6113,-87.6958,547
34.0483,-117.2611,548
30.7428,-87.7933,549
40.7142,-74.0059,550
44.9531,-92.9938,551
30.7266,-90.509,552
28.2442,-82.7193,553
41.722,-87.5869,554
40.2842,-84.1555,555
38.1499,-79.0732,556
40.5675,-89.6407,557
45.4982,-122.4315,558
25.942,-80.2456,559
34.1321,-84.3006,560
32.3763,-86.3095,561
36.0104,-84.2696,562
41.6054,-73.1187,563
42.7339,-84.5555,564
47.3494,-95.1831,565
39.6787,-75.7554,566
45.5234,-122.6762,567
31.7617,-106.4846,568
35.1464,-90.1845,569
29.6191,-95.6332,570
33.4269,-117.6124,571
32.6781,-117.0992,572
38.8523,-77.0372,573
37.271,-79.9414,574
35.5849,-80.8101,575
40.4278,-74.4159,576
34.0603,-118.2059,577
30.0861,-94.1019,578
41.2505,-87.8441,579
38.9805,-76.9366,580
38.2856,-85.8241,581
30.4755,-90.1004,582
36.3273,-119.6459,583
34.7464,-92.2879,584
41.0962,-73.7934,585
32.5843,-117.1161,586
34.0004,-81.0332,587
43.4753,-110.7692,588
30.5021,-90.7479,589
31.6041,-89.1956,590
33.7515,-84.7477,591
39.4143,-77.4105,592
40.7742,-74.0241,593
40.9602,-73.755,594
39.9257,-75.1193,595
44.052,-123.0867,596
33.2556,-87.3208,597
37.694,-85.8591,598
39.7047,-105.0813,599
34.2436,-116.9136,600
33.7748,-84.2963,601
47.5317,-122.6383,602
41.2254,-73.0578,603
28.3039,-81.4128,604
34.4048,-103.2052,605
42.0834,-71.3967,606
37.8216,-121.998,607
41.4991,-72.4498,608
41.7355,-122.6345,609
30.5881,-84.5913,610
44.0537,-122.981,611
27.5038,-99.5075,612
33.4718,-86.8008,613
34.086,-81.1832,614
41.6718,-72.9493,615
33.9671,-118.2433,616
38.312,-84.0274,617
41.5387,-74.0632,618
37.7306,-88.9331,619
40.116,-88.2435,620
41.1537,-81.3579,621
47.8263,-122.3046,622
30.8366,-83.9788,623
33.9891,-118.293,624
43.5978,-84.7675,625
26.2193,-81.7918,626
42.1742,-83.1794,627
43.2137,-77.9392,628
35.3859,-94.3986,629
35.2274,-80.8431,630
37.4848,-119.9667,631
41.7639,-88.29,632
41.3556,-72.2316,633
34.1862,-103.3344,634
41.85,-87.6501,635
43.3665,-124.2178,636
40.6937,-89.589,637
42.444,-76.5019,638
41.8504,-72.6434,639
42.1015,-72.5898,640
46.7324,-117.0002,641
39.1434,-77.2013,642
42.5918,-72.3099,643
41.5623,-72.6507,644
35.994,-78.8986,645
39.9923,-76.6464,646
39.8138,-75.1187,647
