latitude,longitude,city,state,county,zip_code,fips_code
44.0266,-116.9629,Ontario,OR,Malheur County,97914,41045
27.8006,-97.3964,Corpus Christi,TX,Nueces County,78401,48355
34.0395,-118.44,Los Angeles,CA,Los Angeles County,90025,06037
45.5761,-122.7246,Portland,OR,Multnomah County,97203,41051
29.6524,-82.3266,Gainesville,FL,Alachua County,32601,12001
41.5862,-93.6234,Des Moines,IA,Polk County,50309,19153
42.8886,-88.0384,Franklin,WI,Milwaukee County,53132,55079
30.3323,-81.6571,Jacksonville,FL,Duval County,32202,12031
45.5946,-121.1787,The Dalles,OR,Wasco County,97058,41065
43.2082,-71.5383,Concord,NH,Merrimack County,03301,33013
43.0117,-88.2315,Waukesha,WI,Waukesha County,53186,55133
40.8257,-73.2026,Hauppauge,NY,Suffolk County,11788,36103
36.1867,-94.1288,Springdale,AR,Washington County,72764,05007
37.8044,-122.2711,Oakland,CA,Alameda County,94612,06001
33.961,-83.3779,Athens,GA,Clarke County,30601,13059
40.808,-96.699700000000007,Lincoln,NE,Lancaster County,68508,31109
44.076,-103.228,Rapid City,SD,Pennington County,57701,46093
41.4528,-82.1824,Lorain,OH,Lorain County,44052,39093
41.9428,-79.9845,Waterford,PA,Erie County,16441,42039
45.5134,-122.6809,Portland,OR,Multnomah County,97201,41051
34.7048,-85.2819,La Fayette,GA,Walker County,30728,13295
41.5067,-90.5151,Moline,IL,Rock Island County,61265,17161
33.5338,-82.1307,Evans,GA,Columbia County,30809,13073
40.7375,-73.2419,Bay Shore,NY,Suffolk County,11706,36103
40.9382,-73.8321,Bronxville,NY,Westchester County,10708,36119
41.1114,-74.1098,Suffern,NY,Rockland County,10901,36087
40.9312,-73.8988,Yonkers,NY,Westchester County,10701,36119
46.8792,-102.7896,Dickinson,ND,Stark County,58601,38025
41.6411,-88.4473,Yorkville,IL,Kendall County,60560,17093
40.6265,-80.0559,Wexford,PA,Allegheny County,15090,42003
46.9105,-98.7084,Jamestown,ND,Stutsman County,58401,38093
35.65,-97.4667,Edmond,OK,Oklahoma County,73034,40083
38.3489,-81.6322,Charleston,WV,Kanawha County,25301,54039
33.1506,-96.8236,Frisco,TX,Collin County,75033,NA
30.4473,-91.189,Baton Rouge,LA,East Baton Rouge Parish,70801,22033
44.7631,-85.6206,Traverse City,MI,Grand Traverse County,49684,26019
38.9098,-76.9761,Washington,DC,District of Columbia,20002,11001
43.0481,-76.1474,Syracuse,NY,Onondaga County,13202,36067
