latitude,longitude
37.0779,-77.5867
44.6281,-69.6682
42.196,-73.362
33.2571,-103.318
33.7764,-112.5285
35.2156,-94.2557
61.5994,-149.1146
40.2359,-76.2461
36.4742,-82.2609
41.4801,-81.4619
37.4793,-82.5188
40.1938,-92.5839
32.7448,-116.9989
35.6513,-78.8336
39.8842,-82.7535
41.2902,-72.3746
43.6339,-89.7756
41.4756,-93.6788
37.6429,-77.5089
39.2007,-84.2449
41.3111,-105.5936
27.1678,-80.2662
38.818600000000004,-95.6892
42.467,-82.9557
37.6456,-84.7721
38.8329,-77.4346
38.9687,-77.3411
42.917,-89.2179
41.8273,-86.3611
43.1031,-74.7745
37.0479,-80.7798
32.4065,-97.2116
43.5196,-114.3153
37.1305,-121.6543
42.8624,-90.1837
42.1902,-87.9094
39.1523,-80.0404
32.1506,-112.0451
35.2336,-88.6064
39.7339,-90.229
40.1484,-89.3648
32.5773,-116.6275
43.2103,-77.4274
31.2068,-97.3027
42.737,-84.4839
40.9637,-81.3312
38.4406,-82.3843
32.7593,-97.7973
27.4957,-81.4408
33.8187,-84.5824
41.3137,-81.7246
33.4332,-79.1214
37.9413,-122.4848
42.6107,-122.8125
42.4904,-83.013
48.147,-103.618
40.1578,-83.0752
30.9913,-83.3726
33.3976,-84.5951
30.9499,-95.9116
36.4539,-94.1152
42.0662,-94.8691
44.1916,-88.624
41.0251,-80.7609
39.2023,-83.6116
41.5323,-87.255
40.9587,-73.9642
43.3006,-73.586
41.2775,-72.8718
42.4739,-73.1671
42.0542,-71.8498
37.8841,-121.2711
40.5528,-90.5062
38.751,-77.4753
42.5752,-83.4884
38.5347,-105.9989
42.4853,-83.3771
42.2631,-88.004
47.6445,-122.6949
32.565,-116.991
42.1539,-88.1362
31.8826,-112.8157
33.3706,-96.0695
35.9448,-96.0652
45.5229,-122.9898
37.2398,-96.9956
42.1103,-88.0342
40.8617,-80.2864
41.4274,-78.5609
41.3672,-76.0334
32.5121,-93.859
40.0811,-82.8087
40.7029,-73.6777
30.3571,-87.1638
35.3415,-89.8973
64.5039,-165.39940000000001
32.4085,-91.1868
36.0156,-86.5819
37.4113,-94.7051
44.2237,-70.5134
37.277,-89.1834
33.8126,-84.6343
41.3302,-74.1876
